event_id,event_slug,event_title,market_id,market_slug,question,yes_token_id,domain,market_liquidity,tag_labels,tag_slugs,event_start,event_end
17725,starmer-out-in-2025,Starmer out by...?,1500922,starmer-out-by-april-30-2026,"Starmer out by April 30, 2026?",65075454639388714811293775905500639483433054272204316386263594369997153544149,grooming-gangs,97858.08741,Starmer|uk|keir|Grooming Gangs|Politics|World,starmer|uk|keir|grooming-gangs|politics|world,2025-02-03T18:45:44.284313Z,2025-12-31T12:00:00Z
106210,west-virginia-democratic-senate-primary-winner,West Virginia Democratic Senate Primary Winner,943854,will-zachary-shrewsbury-be-the-democratic-nominee-for-senate-in-west-virginia,Will Zachary Shrewsbury be the Democratic nominee for Senate in West Virginia?,85804162766623143925505734230172858069182216823432975004068744981960196178654,west-virginia-primary,23532.4217,Primaries|Politics|Elections|primary elections|Senate Primary|Democratic Primary|West Virginia Primary,primaries|politics|elections|primary-elections|senate-primary|democratic-primary|west-virginia-primary,2025-12-16T01:37:50.398547Z,2026-05-12T00:00:00Z
139236,2026-mens-us-open-winner-tennis,2026 Men’s US Open Winner (Tennis),1088491,will-hubert-hurkacz-win-the-2026-mens-us-open,Will Hubert Hurkacz win the 2026 Men's US Open?,54935126197359005865759470122412489520668573958432708236792605627229004170180,tennis,31580.87942,Sports|ATP|Tennis,sports|atp|tennis,2026-01-02T20:40:16.837688Z,2026-09-13T00:00:00Z
17725,starmer-out-in-2025,Starmer out by...?,597967,starmer-out-by-june-30-2026-862-594-548,"Starmer out by June 30, 2026?",34554555827438551101000555305203609600029621153428996114009350892614396532498,grooming-gangs,52590.8813,Starmer|uk|keir|Grooming Gangs|Politics|World,starmer|uk|keir|grooming-gangs|politics|world,2025-02-03T18:45:44.284313Z,2025-12-31T12:00:00Z
31889,texas-republican-senate-primary-winner,Texas Republican Senate Primary Winner,562190,will-wesley-hunt-win-the-2026-republican-primary,Will Wesley Hunt win the 2026 Texas Republican Primary?,107927272895121873896592780561794303301515708678562694349024225854697593171909,republican-primary,68496.47578,Politics|US Election|Elections|Primaries|Parent For Derivative|primary elections|Texas Senate|Senate Primary|Republican Primary|Texas Primary|March 3 Primaries,politics|us-presidential-election|elections|primaries|parent-for-derivative|primary-elections|texas-senate|senate-primary|republican-primary|texas-primary|march-3-primaries,2025-07-10T21:36:35.289529Z,2026-05-26T00:00:00Z
38532,uefa-europa-league-winner,UEFA Europa League: Winner ,578535,will-nottm-forest-win-the-2025-26-uefa-europa-league,Will Nott'm Forest win the 2025-26 UEFA Europa League?,81085168149210534701056807267483472863288984314426354863145129521956049193057,uefa-europa-league,56979.44308,Sports|UEFA Europa League|Soccer|Europa League|UEL,sports|uefa-europa-league|soccer|europa-league|uel,2025-08-20T06:24:29.163078Z,2026-05-24T00:00:00Z
36308,claude-5-released-by,Claude 5 released by…?,1363116,will-claude-5-be-released-by-april-30-2026,"Will Claude 5 be released by April 30, 2026?",11966409881281293602137861492007400834690026843003461391578987664208256196909,claude-5,55283.12938,AI|Tech|Claude 5,ai|tech|claude-5,2025-08-07T20:45:08.401678Z,2026-04-30T00:00:00Z
28999,megaeth-market-cap-fdv-one-day-after-launch,MegaETH market cap (FDV) one day after launch? (if by June 30),556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,MegaETH market cap (FDV) >$2B one day after launch?,57301498276970257025109591078431189727442302532145853906375186182281603517458,airdrops,65051.8101,Airdrops|Featured|Crypto|MegaETH|Pre-Market|fdv,airdrops|featured|crypto|megaeth|pre-market|fdv,2025-06-26T19:50:27.580851Z,2026-07-01T04:00:00Z
66156,most-popular-boy-name-2025,Most popular boy name 2025,651485,will-theodore-rank-1-among-boy-names-on-the-ssas-official-list-for-2025,Will Theodore rank #1 among boy names on the SSA’s official list for 2025?,63415064977569429650854303533694905713854849186055984415925532647266316927744,best-of-2025,8920.16624,Culture|Best of 2025,pop-culture|best-of-2025,2025-10-27T17:55:11.640546Z,2025-12-31T00:00:00Z
57123,nhl-western-conference-champion-865,NHL: Western Conference Champion,629120,will-the-los-angeles-kings-win-the-western-conference-195,Will the Los Angeles Kings win the Western Conference?,59261866601270864198456845856841875150453626184437295894384368539724334278520,hockey,40827.09643,NHL|Sports|Hockey,nhl|sports|hockey,2025-10-10T00:34:37.44242Z,2026-06-30T00:00:00Z
57670,south-dakota-senate-election-winner,South Dakota Senate Election Winner,630937,will-the-democrats-win-the-south-dakota-senate-race-in-2026,Will the Democrats win the South Dakota Senate race in 2026?,67967023811721834738685695249992484419619114809767608640505747182577663027691,south-dakota-midterm,22781.82261,US Election|Midterms|Elections|Politics|Senate midterms|South Dakota Midterm,us-presidential-election|midterms|elections|politics|senate-midterms|south-dakota-midterm,2025-10-13T21:43:31.121496Z,2026-11-03T00:00:00Z
32756,nba-western-conference-champion-933,NBA Western Conference Champion ,564222,will-the-phoenix-suns-win-the-nba-western-conference-finals,Will the Phoenix Suns win the NBA Western Conference Finals?,24315108267836543154857233535536136482524552716493402526894829400485516895736,nba,149243.58232,Sports|NBA|Hide From New,sports|nba|hide-from-new,2025-07-17T12:25:28.645689Z,2026-06-16T00:00:00Z
63292,nba-2025-26-defensive-player-of-the-year,NBA Defensive Player of the Year Winner,643570,nba-2025-26-defensive-player-of-the-year-rudy-gobert,Will Rudy Gobert win the 2025–2026 NBA Defensive Player of the Year?,15836779649189929164270969373755572966867849674701133146273205335577116500317,basketball,537924.31948,NBA|Basketball|Sports|Hide From New,nba|basketball|sports|hide-from-new,2025-10-22T05:45:58.29161Z,2026-06-30T00:00:00Z
34584,colombia-presidential-election,Colombia Presidential Election,569364,will-juan-manuel-galn-win-the-2026-colombian-presidential-election,Will Juan Manuel Galán win the 2026 Colombian presidential election?,75712298340810272859765060308006832993211601931382911468417184675550881103879,colombia-election,133366.27179,Politics|Global Elections|Elections|World|World Elections|Colombia Election|Colombia,politics|global-elections|elections|world|world-elections|colombia-election|colombia,2025-07-29T17:32:52.057619Z,2026-06-21T14:00:00Z
33699,french-ligue-1-winner,French Ligue 1 Winner ,566733,will-marseille-win-the-202526-french-ligue-1,Will Marseille win the 2025–26 French Ligue 1?,49662274238485451283220527378586398370959042852997899886824914466317758572224,ligue-1,52198.32508,Sports|Soccer|Ligue 1,sports|soccer|ligue-1,2025-07-28T16:59:51.467008Z,2026-05-30T00:00:00Z
27830,2026-nba-champion,2026 NBA Champion,553869,will-the-philadelphia-76ers-win-the-2026-nba-finals,Will the Philadelphia 76ers win the 2026 NBA Finals?,5644679982684846699855787022092402984369447277920326773883608030240292167917,nba-champion,887117.23047,Sports|NBA|NBA Finals|Basketball|NBA Champion,sports|nba|nba-finals|basketball|nba-champion,2025-06-23T16:04:37.82012Z,2026-07-01T00:00:00Z
33659,serie-a-league-winner,Serie A League Winner ,566514,will-ac-milan-win-the-202526-serie-a-league,Will AC Milan win the 2025–26 Serie A league?,11843131838379676792721059608342146205696413823676149302931627463939711085828,serie-a,24728.23406,Sports|Soccer|Serie A,sports|soccer|serie-a,2025-07-28T16:59:51.350736Z,2026-05-28T00:00:00Z
89386,who-will-place-first-in-the-primary-for-nancy-pelosis-congressional-seat-ca-11,Who will place first in the primary for Nancy Pelosi’s congressional seat (CA-11)?,700769,will-connie-chan-receive-the-most-votes-in-the-ca-11-primary,Will Connie Chan receive the most votes in the CA-11 primary?,7345183309756257693783741573478340128830660331823026035095352170224920670792,primaries,23255.28504,Elections|Trump|Politics|Primaries,elections|trump|politics|primaries,2025-11-24T20:37:21.005356Z,2026-06-02T00:00:00Z
75478,fed-decision-in-april,Fed decision in April?,669660,will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,18690049947242812495755151360212639738977254879109748949267393375856311641700,economic-policy,8241718.00638,Economic Policy|Economy|Jerome Powell|Fed|Fed Rates|Politics|fomc,economic-policy|economy|jerome-powell|fed|fed-rates|politics|fomc,2025-11-13T00:40:50.267805Z,2026-04-29T00:00:00Z
27830,2026-nba-champion,2026 NBA Champion,553877,will-the-phoenix-suns-win-the-2026-nba-finals,Will the Phoenix Suns win the 2026 NBA Finals?,106572879185916710503631021854572801471104977091252507745096331167318654083650,nba-champion,1158184.99723,Sports|NBA|NBA Finals|Basketball|NBA Champion,sports|nba|nba-finals|basketball|nba-champion,2025-06-23T16:04:37.82012Z,2026-07-01T00:00:00Z
